order_id,date,customer_id,customer_age,customer_gender,customer_segment,product_category,product_name,unit_price,quantity,subtotal,discount_rate,discount_amount,tax_rate,tax_amount,shipping_cost,total_amount,sales_channel,payment_method,region,sales_rep,lead_source,is_returned,return_reason,satisfaction_score,year,month,quarter,day_of_week,is_weekend,profit_margin,profit
ORD_20210830_7096,2021-08-30,CUST_62662,,Male,Standard,Sports & Outdoors,Basic Tool 694,39.12,1,39.12,0.0,0.0,0.15,5.87,0.0,44.98,Retail Store,Credit Card,Latin America,Mark Conner,Paid Search,False,,9.0,2021,8,3,Monday,False,0.33938576546874377,15.265571730784094
ORD_20230827_6799,2023-08-27,CUST_64690,72.0,Male,Standard,Home & Garden,Elite Unit 478,27.23,2,54.47,0.0699,3.81,0.15,7.6,2.83,58.26,Online,Debit Card,Latin America,Karen Taylor,Email,True,Not as Described,3.0,2023,8,3,Sunday,True,0.34768977964005765,20.25640656182976
ORD_20231110_4442,2023-11-10,CUST_30593,32.0,Male,Premium,Toys & Games,Premium Unit 936,73.85,1,73.85,0.0,0.0,0.08,5.91,0.0,79.76,Retail Store,Debit Card,North America,Erica Smith,Direct,False,,8.0,2023,11,4,Friday,False,0.30331455204761193,24.192368671317528
ORD_20230211_1148,2023-02-11,CUST_19122,50.0,Female,Budget,Toys & Games,Premium Kit 781,19.37,1,19.37,0.033,0.64,0.08,1.5,0.0,20.23,Retail Store,Debit Card,North America,James Nolan,Email,False,,7.0,2023,2,1,Saturday,True,0.4198075486148537,8.49270670847849
ORD_20210921_2989,2021-09-21,CUST_20730,30.0,Female,Premium,Automotive,Premium Device 655,196.53,1,196.53,0.0,0.0,0.1,19.65,0.0,216.18,Phone,Debit Card,Asia Pacific,Gregory Mcclure,Social Media,False,,10.0,2021,9,3,Tuesday,False,0.168129271660461,36.34618594755846
ORD_20230831_2222,2023-08-31,CUST_57603,75.0,Other,Budget,Books,Deluxe Widget 999,12.66,2,25.33,0.0,0.0,0.2,5.07,12.42,30.39,Online,Credit Card,Europe,Kevin Mckee,Advertisement,False,,10.0,2023,8,3,Thursday,False,0.3873358177979289,11.77113550287906
ORD_20210811_4541,2021-08-11,CUST_59487,45.0,Female,Standard,Home & Garden,Basic Tool 715,220.76,3,662.28,0.1061,70.26,0.08,47.36,0.0,639.39,Phone,Credit Card,North America,Melinda Gonzalez,Advertisement,False,,8.0,2021,8,3,Wednesday,False,0.16281922084598419,104.10498161671383
ORD_20240307_2546,2024-03-07,CUST_25553,77.0,Other,Standard,Home & Garden,Pro Package 237,156.56,1,156.56,0.0366,5.73,0.1,15.08,0.0,165.91,Retail Store,Credit Card,Asia Pacific,Cynthia Oliver,Referral,False,,6.0,2024,3,1,Thursday,False,0.20514013022852592,34.03479900621473
ORD_20230210_5885,2023-02-10,CUST_57256,76.0,Male,Enterprise,Sports & Outdoors,Elite Widget 442,59.81,3,179.43,0.1384,24.83,0.15,23.19,0.0,177.79,Online,PayPal,Latin America,Sherry Reid,Social Media,False,,,2023,2,1,Friday,False,0.3152790172963139,56.053456485111646
ORD_20211222_2054,2021-12-22,CUST_21401,40.0,Other,Standard,Books,Standard Package 383,25.28,4,101.13,0.1257,12.71,0.08,7.07,4.06,95.49,Online,Cash,North America,Lauren Hernandez,Referral,False,,6.0,2021,12,4,Wednesday,False,0.23801577840658317,22.728126680044625
ORD_20240319_1680,2024-03-19,CUST_93704,43.0,Other,Standard,Clothing,Pro System 356,75.82,1,75.82,0.0,0.0,0.08,6.07,0.07,81.88,Phone,Debit Card,North America,William Campbell,Advertisement,False,,6.0,2024,3,1,Tuesday,False,0.26628042084895787,21.80304085911267
ORD_20200415_6631,2020-04-15,CUST_73614,55.0,Male,Premium,Electronics,Pro Tool 679,642.36,1,642.36,0.0,0.0,0.15,96.35,0.0,738.72,Online,Credit Card,Latin America,Jeffrey Chavez,Paid Search,False,,8.0,2020,4,2,Wednesday,False,0.150647499661982,111.28632095029934
ORD_20231116_4407,2023-11-16,CUST_57369,42.0,Other,Standard,Health & Beauty,Premium Package 964,81.01,3,243.04,0.0,0.0,0.15,36.46,0.0,279.49,Online,Bank Transfer,Latin America,Beverly Nguyen,Social Media,False,,,2023,11,4,Thursday,False,0.27299885080855435,76.30044881248286
ORD_20200108_8495,2020-01-08,CUST_62915,54.0,Male,Budget,Clothing,Premium Package 882,69.34,1,69.34,0.0,0.0,0.15,10.4,4.56,79.74,Mobile App,Credit Card,Latin America,Jacob Shepherd,Direct,False,,6.0,2020,1,1,Wednesday,False,0.2834017378386078,22.59845457525058
ORD_20210405_9402,2021-04-05,CUST_92657,26.0,Female,Premium,Books,Standard Set 564,37.68,1,37.68,0.0341,1.28,0.15,5.46,12.64,41.86,Online,Credit Card,Latin America,Edward Fuentes,Email,False,,8.0,2021,4,2,Monday,False,0.33369896365409296,13.96863861856033
ORD_20200718_6746,2020-07-18,CUST_68346,44.0,Male,Premium,Books,Premium Set 711,12.26,1,12.26,0.0336,0.41,0.08,0.95,11.84,12.8,Mobile App,Cryptocurrency,North America,Dustin Webster,Advertisement,False,,8.0,2020,7,3,Saturday,True,0.17749328106982235,2.271913997693726
ORD_20200809_5907,2020-08-09,CUST_79133,77.0,Male,Budget,Health & Beauty,Elite Tool 866,53.14,1,53.14,0.0,0.0,0.15,7.97,0.0,61.11,Retail Store,Bank Transfer,Latin America,Luke Johnson,Advertisement,False,,,2020,8,3,Sunday,True,0.2744634157739045,16.772459337943303
ORD_20230520_6107,2023-05-20,CUST_75634,52.0,Male,Budget,Home & Garden,Premium Tool 399,153.0,4,611.99,0.0611,37.4,0.15,86.19,0.0,660.78,Retail Store,Credit Card,Latin America,Perry Giles,Social Media,False,,6.0,2023,5,2,Saturday,True,0.28577515102068474,188.83450429144804
ORD_20240914_1749,2024-09-14,CUST_75740,62.0,Male,Standard,Electronics,Elite Tool 383,438.95,1,438.95,0.0533,23.4,0.08,33.24,0.0,448.8,Retail Store,Debit Card,North America,Mrs. Sara Walker MD,Social Media,False,,7.0,2024,9,3,Saturday,True,0.2094631485126925,94.0070610524964
ORD_20211029_6617,2021-10-29,CUST_77402,,Other,Standard,Clothing,Premium Unit 622,23.74,1,23.74,0.0,0.0,0.1,2.37,0.0,26.12,Third Party,Credit Card,Asia Pacific,Ashley Salas,Social Media,False,,10.0,2021,10,4,Friday,False,0.24761948646339155,6.467820986423788
ORD_20230405_6245,2023-04-05,CUST_78627,20.0,Male,Enterprise,Electronics,Classic Tool 961,303.09,1,303.09,0.0,0.0,0.2,60.62,0.0,363.71,Online,Credit Card,Europe,Dustin Bryan,Email,False,,10.0,2023,4,2,Wednesday,False,0.38513008588442665,140.0756635370248
ORD_20230606_6873,2023-06-06,CUST_91284,30.0,Other,Enterprise,Automotive,Standard Widget 855,204.67,1,204.67,0.0,0.0,0.15,30.7,0.0,235.37,Retail Store,PayPal,Latin America,Benjamin Rose,Organic Search,False,,10.0,2023,6,2,Tuesday,False,0.29376878183224253,69.14435817985492
ORD_20220426_4191,2022-04-26,CUST_40740,56.0,Male,Premium,Electronics,Pro Unit 636,662.44,1,662.44,0.0,0.0,0.1,66.24,0.0,728.68,Online,Debit Card,Asia Pacific,Vanessa Boone,Email,False,,9.0,2022,4,2,Tuesday,False,0.1886925323198133,137.49647445080154
ORD_20200425_9984,2020-04-25,CUST_62431,75.0,Male,Budget,Books,Standard Tool 376,43.48,1,43.48,0.0,0.0,0.1,4.35,7.04,47.83,Online,Credit Card,Asia Pacific,Kelsey Howell,Organic Search,False,,7.0,2020,4,2,Saturday,True,0.414867279777397,19.8431019917529
ORD_20230321_6249,2023-03-21,CUST_79932,46.0,Other,Standard,Automotive,Deluxe Package 186,128.64,1,128.64,0.0,0.0,0.15,19.3,0.0,147.94,Online,Bank Transfer,Latin America,Tammy Garcia,Direct,False,,7.0,2023,3,1,Tuesday,False,0.15454319626461335,22.8631204553869
ORD_20200302_2356,2020-03-02,CUST_48828,,Female,Standard,Electronics,Premium Set 884,464.28,3,1392.85,0.0,0.0,0.08,111.43,0.0,1504.27,Online,PayPal,North America,James Wilcox,Referral,False,,10.0,2020,3,1,Monday,False,0.3501663716656559,526.7447679054961
ORD_20211103_5926,2021-11-03,CUST_95459,71.0,Male,Budget,Sports & Outdoors,Classic Device 544,124.5,2,248.99,0.0,0.0,0.08,19.92,0.0,268.91,Retail Store,PayPal,North America,Robert Thomas,Referral,False,,7.0,2021,11,4,Wednesday,False,0.3635581646537698,97.76442605704524
ORD_20231117_6091,2023-11-17,CUST_30758,37.0,Male,Standard,Clothing,Premium Kit 826,139.73,2,279.46,0.2054,57.39,0.15,33.31,0.0,255.38,Third Party,PayPal,Latin America,Patrick Thornton,Referral,False,,10.0,2023,11,4,Friday,False,0.1735542105616894,44.32227429324424
ORD_20231219_6760,2023-12-19,CUST_97426,23.0,Male,Budget,Automotive,Premium Widget 689,213.22,1,213.22,0.0,0.0,0.15,31.98,0.0,245.2,Online,Bank Transfer,Latin America,Brandi Douglas,Advertisement,False,,9.0,2023,12,4,Tuesday,False,0.4425525511814393,108.51388554968892
ORD_20230523_8756,2023-05-23,CUST_27795,62.0,Male,Standard,Sports & Outdoors,Pro Device 707,175.61,1,175.61,0.0,0.0,0.1,17.56,0.0,193.17,Mobile App,Bank Transfer,Asia Pacific,Christopher James,Direct,False,,7.0,2023,5,2,Tuesday,False,0.26590818204638256,51.36548352589971
ORD_20241119_5838,2024-11-19,CUST_88746,38.0,Female,Premium,Clothing,Elite Device 337,59.31,1,59.31,0.0,0.0,0.08,4.75,0.0,64.06,Third Party,Bank Transfer,North America,Whitney Taylor,Direct,False,,8.0,2024,11,4,Tuesday,False,0.3737594519560804,23.943030492306512
ORD_20220718_8628,2022-07-18,CUST_20341,54.0,Other,Premium,Health & Beauty,Deluxe Package 518,28.77,3,86.3,0.1425,12.3,0.08,5.92,0.0,79.92,Third Party,Debit Card,North America,James Newman,Social Media,False,,,2022,7,3,Monday,False,0.4143040999612093,33.11118366889985
ORD_20200705_4121,2020-07-05,CUST_82953,29.0,Other,Standard,Toys & Games,Basic Widget 493,52.59,2,105.17,0.0,0.0,0.08,8.41,0.0,113.59,Retail Store,Debit Card,North America,Barbara Odom,Social Media,False,,8.0,2020,7,3,Sunday,True,0.3502327039523634,39.782932841948956
ORD_20230418_9137,2023-04-18,CUST_41420,45.0,Other,Budget,Toys & Games,Standard Unit 104,50.81,1,50.81,0.1139,5.79,0.08,3.6,0.0,48.63,Retail Store,Bank Transfer,North America,Timothy West,Paid Search,True,Damaged in Shipping,2.0,2023,4,2,Tuesday,False,0.3202062171033784,15.571628337737291
ORD_20231025_9595,2023-10-25,CUST_36534,26.0,Other,Standard,Health & Beauty,Basic Kit 945,108.11,2,216.22,0.0,0.0,0.1,21.62,0.0,237.84,Online,Bank Transfer,Asia Pacific,Scott Soto,Advertisement,True,Damaged in Shipping,1.0,2023,10,4,Wednesday,False,0.2162300621989554,51.42815799339955
ORD_20240919_6494,2024-09-19,CUST_53348,27.0,Male,Standard,Automotive,Classic Package 684,196.53,2,393.05,0.0,0.0,0.15,58.96,0.0,452.01,Retail Store,Debit Card,Latin America,Gerald Brooks,Social Media,True,Damaged in Shipping,1.0,2024,9,3,Thursday,False,0.1707177820205104,77.1661446510909
ORD_20240524_8062,2024-05-24,CUST_40605,72.0,Other,Standard,Toys & Games,Premium Package 255,62.9,1,62.9,0.0,0.0,0.08,5.03,2.89,67.93,Online,Debit Card,North America,Daniel West,Paid Search,False,,10.0,2024,5,2,Friday,False,0.35932642283093585,24.409043902905474
ORD_20230220_3998,2023-02-20,CUST_27778,33.0,Other,Enterprise,Clothing,Elite Device 661,24.85,2,49.7,0.0708,3.52,0.2,9.24,3.79,55.42,Online,Credit Card,Europe,Timothy Ferguson,Direct,False,,6.0,2023,2,1,Monday,False,0.2645118704204681,14.659247858702342
